Beryll|+Beryll
Curtis-Wright Corporation|Curtiss-Wright
Curtiss Aeroplane Company|Curtiss Aeroplane & Motor Company
Curve Digital|Curve Studios
Curves For Women|Curves for women
Curzon Artificial Eye|Artificial Eye
Cuscal Limited|Cuscal
Cushman & Wakefield|Cushman and Wakefield
Custom Bus|Custom Coaches
Custom Flight|Custom Flight Ltd
Custom house foreign exchange|Custom house currency exchange
Genticity|Customer1, Inc
Customers Bank|BankMobile
Customerxps Software|Customerxps Software Pvt. Ltd.
CUTCO|Cutco Cutlery
Cutter and buck|Cutter and Buck
Cvent, Inc.|Cvent
Cxense AS|Cxense
Cyan Worlds, Inc|Cyan, Inc
Cyanide|Cyanide Studio
CyberArk|Cyber-Ark
CyberConnect2|Cyber Connect 2
Cyberlink|CyberLink Media Suite
CyberSource Corp.|CyberSource Corporation
CyberFlix|Cyberflix
Outpost.com|Cyberian Outpost, Inc.
Cyberlore|Cyberlore Studios
OnDemand3D|In2Guide
Cyberoam Threat Research Labs|Cyberoam
Cyberpark, Calicut|Cyberpark, Kozhikode
School Nutrition Edge|PrimeroEdge
Cybex International|Cybex
Cyclacel|Cyclacel Pharmaceuticals, Inc.
Cycle & Carriage|Cycle & Carraige
Cycles Peugeot|Pegeot Cycles
Cycling '74|Cycling 74
Cyclo Industries|Cyclo industries
Cyfe, Inc|Cyfe, Inc.
Cygnus Business Media|Cygnus business media
Cygnus Support|Cygnus Solutions
Cyient|Infotech Enterprises
Cylon Controls Ltd|Cylon Controls
Cymat|Cymat Technologies
Cymax Stores|Cymax Stores Inc.
Cymer, LLC.|Cymer Inc.
The Cypress Group|Cypress Group
Ramtron International|Ramtron
Cypronia|Cypron
Cyprus Development Bank|The Cyprus Development Bank
Cyprus Popular Bank|Cyprus Popular Bank Public Co. Ltd
Cyries energy|Cyries Energy Inc.
Cyril leonard|Cyril Leonard
Cyrix|Cyrix Corporation
Cytec Industries|Cytec Industries Inc.
Czech News Agency|Czech Press Agency
Czech Sport Aircraft|Czech Aircraft Works
Ceidot Game Studios|Sovereign Symphony
Curam|Curam Software
Romanian Railways|Romanian State Railways
D&W Food Centers|D&W Fresh Market
Puresound|Rico International
D'Angelico Guitars|D'Angelico guitars
D'Angelo|D'Angelo Sandwich Shops
Ddamas Jewellery|D'damas
Dmaris|D'maris
D-BOX Technologies|DBOX
D-Link|D-Link Systems
D-Mart|D-mart
D-Wave 2X|D-wave 1
DDW, The Color House|D.D. Williamson
D.H. Griffin|D. H. Griffin
Dp dough|D. P. Dough
D. e. shaw|D.E. Shaw & Co
D. H. Morgan|D.H. Morgan
David Landreth|D. Landreth Seed Company
D Medical|D Medical Industries
D R Horton|D. R. Horton, Inc.
D. Reidel|D. Reidel Publishing Company
Dampskibsselskabet Norden|Ds norden
D23 Expo|Disney D23
D2L|Desire2Learn
D3Publisher|D3 Publisher
D3 Security Management Systems|D3 security
DAF Car BV|Van Doorne's Automobiel Fabriek
SOCATA|Socata TBN
DAKS|Daks
DALGlobal Services, LLC|DAL Global Services
DAMAC|DAMAC Properties
Dancom|DANCOM
DAP Products|DAP Products, Inc.
DAR motion pictures|DAR Motion Pictures
Daimler Benz Aerospace|DASA
DASHED|DASHED Delivery
DATEV eG|Datev
DAZ3D|DAZ 3D
Da architects|Barry Vance Downs
dbFX|DbFX
DBRS|Dominion Bond Rating Services
Development Bank of Singapore Limited|DBS Group
Dao Heng|DBS Bank  Limited
DB AutoZug|SyltShuttle
Dominion Breweries|Liquorland nz
DB Realty Ltd|Dynamix Balwas Group
DB Records|Danny Beard
Railion Deutschland|DB Cargo
EW&S|English, Welsh and Scottish Railway
DB Schenker Rail Polska|PCC Rail Szczakowa
DB Schenker Rail Rybnik|PTKiGK Rybnik
DB Station&Service AG|DB Station&Service
DB Studios|Display Boys
DCB Bank Limited|DCB Bank
DCC Doppelmayr Cable Car|Doppelmayr Cable Car
DCC plc|DCC Plc
Made clothing|Dcma collective
DCM Productions|DCM Productions Mumbai
Direction des constructions navales|Direction des Constructions Navales
DC Brau Brewing|DC Brau
DCSHOECOUSA|DC Spartan
D.C.Thompson|D. C. Thomson & Co.
DDB Mudra Group|DDB Mudra
DDB Worldwide Communications Group Inc.|Doyle Dane and Bernbach
S|DDC-I
Deutsche Dampfschiffahrts-Gesellschaft Hansa|Deutsche Dampfschifffahrts-Gesellschaft %22Hansa%22
Developers Diversified Realty Corporation|DDR Corp.
Ddr motorsports|DDR Motorsports
DD Direct +|DoorDarshan Direct Plus
RWE Dea|Deutsche Erdoel-Aktiengesellschaft
Defa film library|DEFA film library
DEFCAD, Inc|DEFCAD
DEKA|DEKA Research and Development Corporation
DEME|Dredging, Environmental and Marine Engineering NV
Public Gas Supply Corporation of Greece|DEPA
DESA diesel|Iran Heavy Diesel Manufacturing Company
National Natural Gas System Operator S.A.|DESFA
RH Donnelley Publishing & Advertising of Illinois|R H DONNELLEY CORP
DFCC Bank|DFCC Vardhana Bank
Det Forenede Dampskibs-Selskab|DFDS Container Line
DFDS Lisco GmbH|DFDS Lisco
DFDS Seaways France|S
DFI|Diamond Flower Inc
Deals For Sunday|Direct Furnishing Supplies
Duty Free Shoppers|DFS
Daegu Bank|DGB Financial Group
American Pacific Mint|DGSE Companies, Inc.
DG FastChannel|Digital Generation, Inc.
Demir-Halk Bank  N.V.|Demir Halk Bank Nederland BV
DHL Aviation|DHL Airlines
DHL Global Mail|DHL Air Limited
Danzas|DHL Global Forwarding
DHL Exel Supply Chain|DHL Supply Chain
Dhx media|DHX Media Ltd.
Dhgate|DHgate.com
Dainippon Ink and Chemicals|DIC Corporation
DiC Audiovisuel|Freddy's Firehouse
Diesel Nacional|DINA SA
DISA|Dansk Industri Syndikat
DJI UAV|Da-Jiang Innovations
DK'tronics|DK 'Tronics
Donna Karan International Inc.|Donna Karin New York
DKSH|DKSH Holding Ltd.
Dampf-Kraft-Wagen|DKW
Delhi Land and Finance|DLF Limited
DLF|DLF-Trifolium
DLR Group|DLR Group, Inc.
Dma design|DMA Design
DMCI Holdings|DMCI Holdings, Inc.
DMC|Dollfus-Meig et Cie
This is Money|Associated Newspapers Limited
DMG Mori Seiki AG|DMG Mori Aktiengesellschaft
Mori Seiki Co Ltd|Mori Seiki
DMG Yinji|DMG Entertainment
DMI Trust|Dar Al Maal Al Islami
DMZGlobal|Dmz global
DNAWitness|DNAPrint Genomics
Dna Finland|Dnainternet.fi
DNB Nor Group|DNB Bank
DNN Corp.|DNN Corporation
DNO International|Det Norske Oljeselskap
Dns.com|DNS.com
DNS Advantage|UltraDNS
DNS NXD Advert Overriding|Barefruit
Det norske veritas|DNV GL AS
DONG Energy|Dong Energy
Dayton Power & Light|The Dayton Power and Light Company
Defense Procurement Manufacturing Services|DPMS Panther Arms
DP World|Dubai World Ports
Duquesne Light Holdings, Inc.|DQE
DQS|UL DQS Inc.
DRB-HICOM|HICOM
Comprehensive Test of Basic Skills|McGraw-Hill
DREAMdirect Group|DREAMdirect Group PLC
Systems & Electronics, Inc.|DRS Technologies, Inc.
DR Motor Company S.p.A.|DR Motor
DR Studios|High School Dreams: Best Friends Forever
DSBFirst|DSB First
DSB S-tog|DSB
DSB Bank|DSB Groep
DSK Bank|Banka DSK
Gist-brocada|DSM Gist
DSP Group|Dsp group
Daesung Media|DSP Media
DST International|DST Systems, Inc.
Discount Shoe Warehouse|DSW Shoe Warehouse
DS Automotive|DS Automobiles
DStv|DSTV
DTAC|Total Access Communication Public Company Limited
DTA sarl|Delta Trikes Aviation
DTEK Dobropolyeugol|DTEK Sverdlovanthracite
Dniproenergo|Dniproenerho
DTE Biomass Energy|Michigan Consolidated Gas Company
Datasat|DTS Coherent Acoustics
DTV America|DTV America Corporation
Debenham, Tewson & Chinnocks|Debenham Thouard Zadelhoff
DVDVideoSoft|Free YouTube to MP3 Converter
DVS Shoe Company|DVS Shoes
DXracer|Dxracer
DX Freight|Nightfreight
DX  plc|The DX
DYE Precision, Inc.|DYE
Dymotape|DYMO Corporation
DYO Boya Fabrikalari|DYO
D B Corp Ltd.|DB Corp Ltd.
D C Leisure Management ltd.|D C Leisure Management
Dakine|DaKine
Davita, Inc.|Davita Healthcare Partners Inc
Da Afghanistan Bank|Central Bank of Afghanistan
Dabel brothers|Dabel Brothers Production
Dabs.ie|dabs.com
Dabur|Dabur India Limited
Unify VISION|Daegis Inc.
DGFEZ|Daegu Gyeongbuk Free Economic Zone Authority
Daegu Metropolitan Transit Corporation|Daegu Transit Corporation
Daei Sport|Daei Sport's Wears & Equipments
Daelim Industrial|Daelim industrial
Daewoo Group|Dae-u
Zyle Daewoo Bus Corporation|GM Daewoo Bus Division
DAEWOO International|Daewoo International
GM Daewoo Motors|Daewoo Motor
Daewoo Shipbuilding & Marine Engineering|Daewoo Shipbuilding & Marine Engineering Co., Ltd
Dafra|Dafra Motos
Dagoba Organic Chocolate|Dagoba Chocolate
Dagong Global Credit Rating Co.|Dagong Global Credit Rating
Dagsbrun Inc.|Dagsbrun
Dah Chong Hong Holdings|DCH Food Mart
Dehabshiil Company|Dahabshiil
Dahabshil Bank International|Dahabshil International Commercial
DAHER|Daher
Dahn yoga|Dahn Yoga and Health Centers, Inc.
Dahua Technology|Dahua Technology Co., Ltd.
Dai-Ichi Kangyo Bank|The Dai-ichi Kangyo Bank, Limited
The Dai-ichi Mutual Life Insurance Company|The Dai-Ichi Mutual Life Insurance Company
Dai Nippon Printing Co.|Dai Nippon Printing Co. Ltd.
Daiei Inc|The Daiei, Inc.
Daihatsu Motor Co., Ltd.|Daihatsu
Daiichi Kosho|Daiichi Kosho Co., Ltd.
Daiichi Sankyo, Ltd.|Daiichi Sankyo, Inc.
Daikin Altherma|Daikin
Daily herald press|Daily Herald Press
Daily Journal Corporation|The Daily Journal Corporation
Daily mail and general trust|Daily Mail and General Trust Group
Daily Planet|Planet Platinum
Thanthi Group|Daily Thanthi Group
The Daimaru,Inc.|Daimaru
Daimler-Benz|Daimler Benz
DaimlerChrysler|Chrysler AG
Daimler Company|The Daimler Company
Daimler India Commercial Vehicles Pvt. Ltd.|Daimler India Commercial Vehicles Pvt.Ltd.
Daimler Trucks North America LLC|Daimler Trucks North America
Woodward-Elwood|Rauscher Pierce Refsnes Securities
Dairy Crest|Dairy Crest Group plc
Dairy Farm Company|Dairy Farm International Holdings
Keller's Creamery|Dairy farmers of america
Dairy Farmers of Britain|Dairy farmers of britain
Dairy industry association of australia|Dairy Industry Association of Australia
Moolatte|Dairy Queen Brazier
Dairylea Cooperative Inc.|Dairylea Cooperative
Daiso Japan|Daiso
FREEDOM4 Communications plc|Pipex Internet Ltd
Network Europe Group|Daisy Health
Daisy gun|Daisy Red Ryder
Daisy Rock Girl Guitars|Girl guitars
Daisy Systems GmbH|Daisy Systems
Daisy Wholesale|Daisy Wholesale Limited
Daiwa Hausu Kogyo|Daiwa House
DAIWA Securities|Daiwa Securities Group Inc
Dakota Growers Pasta Company, Inc|Dakota Growers
Industrial Strength|Dakota Style
DGVCL|Dakshin Gujarat Vij Company
Daktronics Inc.|Daktronics, Inc.
Daler-Rowney|Daler-Rowney Ltd
Daleside Brewery|Daleside
Dalgety plc|Dalgety & Co
Dalian Commodity Exchange|Dalian commodity exchange
Dalian Shipyard|Dalian Shipbuilding Industry Company
Veolia Energy-Dalkia|Dalkia
Al Baraka Group|Dallah Al-Baraka
Christian Reitter|Alois Dallmayr KG
OJSC Dalsvyaz|Dalsvyaz
Daman|Daman, National Health Insurance Company
Damavand Mineral Water Co.|Damavand Mineral Water
Damballa|DamballaInc
Dambuster Studios|Deep Silver Dambuster
Damen Shipyards Group|Damen SY
Damiani S.p.A.|Damiani International
Damodar valley|Damodar Valley Corporation
Damovo Group|Damovo
Dampskibsselskabet Torm|Dampskibsselskabet TORM
Dan Murphys|Dan Murphy's
Alice Poluchova|Dan Wesson Firearms
Dana, tovarna rastlinskih specialitet in destilacija, d.d.|Dana, tovarna rastlinskih specialitet in destilacija
Dana Buchman|Dana Buchman, Inc.
Dana Energy|Dana Energy Group
Dana-Spicer|Dana Holdings
Sybron Dental Specialities|Danaher Corp
Blackett-Sample-Hummert|Dancer Fitzgerald Sample
Dando Drilling|Dando drilling
Denelectro|Danelectro
Sauer-Danfoss Inc.|Sauer-Danfoss, Inc.
Danger Inc|Danger, Inc.
Danger Close Games|Dreamworks Interactive
Dangote Cement Plc|Obajana Cement Plant
W J Daniel & Co|W. J. Daniel & Company Limited
Kern organ|Daniel Kern
Danieli automation|Danieli Automation
De Danske Spritfabrikker|Danisco A/S
Danish Audiophile Loudspeaker Industries|DALI A/S
Danish Crown Group|Danish Crown
DANIDA|Danish International Development Agency
Danjaq, L.L.C.|Danjaq, Inc.
Dannon Yogurt|Danone International Prize for Nutrition
Dansk Supermarked|Dansk Supermarked A/S
Den Danske Bank|Danske Bank
Northern Bank Limited|Northern Bank
Danske Bank|Fokus Bank
Ostgoeta Enskilda Bank|Ostgota Enskilda Bank
Danske Faerger|Nordic Ferry Service
Dantannas|Dantanna's
Laszlo Szalvay|Victor Szalvay
Danziger Werft|International Shipbuilding and Engineering Company, Limited
Dao Heng Bank Group|Dao Heng Bank Limited
Daqin Railway Company|Daqin Railway Company Limited
Daqo New Energy|DAQO
DarXabre|Darxabre
Dar alarkan|Dar Al-Arkan Real Estate Development Company
Dar al-handasah|Dar Al-Handasah
Dar es Salaam Community Bank|DCB Commercial Bank
Darakwon Press|Darakwon
Darden Restaurants|Darden Restaurants, Inc.
Lochmead dairy|Darimart
United Dairyman's Association|Northwest Dairy Association
Blade Interactive|Dark Energy Digital
Dark Horse Nation|Dark Horse Brewing Company
Dark justice|Dark Justice
Dark Films|Darko Entertainment
Dalham Hall Stud|Darley Stud
Darracq|Automobiles Darracq S.A.
Darrall Macqueen Ltd|Maddy Darrall
Darrers Stores|Darrers
Dart Harbour & Navigation Authority|Dart Harbour Authority
Darty|DartyBox
KESA Eletricals plc|Kesa
Prombron|Dartz Motorz
Darwen Holdings|Darwen Group
Darwin Forest Country Park|Darwin Forest
Dassault Aviation|Avions Marcel Dassault
N!fuze|Dassault Systemes SA
Data3 limited|Data3
MasterCard - DataCash|DataCash
Datamirror|DataMirror
DataPlay Inc.|DataPlay
DataSage, Inc.|Datasage
Datastax|DataStax
Datawind|DataWind
DataXu|DataXu Inc.
Data Design Interactive|Popcorn Arcade
DDS Building Innovation|Data Design System AS
Data East|Data East USA, Inc.
Data Explorers|Data Explorers Limited
Data General|Ed deCastro
O|Data I/O
Datacard Corporation|Datacard Group
Datacom Group|Paul Hargreaves
WinLight|CardTrick
Datamatics Global Services|Datamatics Global Services Ltd
DataMonitor|Datamonitor
DataMost|Datamost
Datang Intl Power|Datang International Power Generation Company
Datang Telecom Technology & Industry Group|Datang Telecom
Datapipe|DataPipe
Computer Terminal Corporation|Datapoint
Dataproducts|Dataproducts Corporation
Dataram Corporation|Dataram
The Datasheet Archive|DatasheetArchive
Datatec Limited.|Datatec
Datatel|Datatel, Inc.
Dataupia Satori Server|Dataupia
Dataware Games|Dataware
Datel Electronics|Datel
Daticon EED|Daticon EED, Inc.
Datong Coal Industry Company Limited|Datong Coal Industry
Datong Coal Mining Group|Datong Coal Mining Administration
Datso|List of Datsun vehicles
Datto, Inc.|Datto Backup, Inc.
Davao Light & Power Co., Inc.|Davao Light
Dave's Markets|Dave's Markets, Inc.
Dave and busters|Dave and Busters
Davey Tree Expert Company|Davey Tree
David's Bridal|Davids bridal
David's Supermarket|David's Supermarkets, Inc.
David Castillo Gallery|Castillo Gallery
David Clark Company, Inc.|David Clark Company
David Jones Ltd|David Jones Limited
David Lloyd Leisure|David Lloyd Tennis Clubs
David MacBrayne Ltd|David MacBrayne
David Production|David production
David Rowell & Co.|David Rowell & Co
Gruppo Campari|Davide Campari-Milano S.p.A.
DAVIDsTEA|DavidsTea
Davidsohn Global Technologies|George Davidsohn & Sons, Inc.
Davidson & Associates|Davidson
Davidson Kempner|Davidson Kempner Capital Management
Davie Shipbuilding and Repairing|Davie shipyard
Davis + Henderson Corporation|DH Corporation
Davis Aircraft|Davis Aircraft Corporation
Davis Brody Bond Aedas|Davis Brody Bond, LLP
Davis Langdon|Davis Langdon, An AECOM Company
Davis Motorcar Company|Davis Deluxe
Davisco foods|Davisco Foods International
macy's|Davison-Paxon
Bancafe|Banco Davivienda S.A.
Davy Group|Davy
Daxcon|DAXCON Engineering, Inc.
Dayquil|DayQuil
Daysmart software|Daysmart software inc
DayStar Technologies|DayStar Technologies, Inc.
Daybreak Games|Verant
Days Inns of America|Days inn
Dayton's|Daytons
Dayton-Wright Airplane Company|Dayton-Wright
Daytop Village|Daytop
Dazey Corporation|Dazey Products Company
dbx/dbx Professional Products|DBX, inc.
DeLonghi|Delonghi
Icelandic DNA database|deCODE genetics, Inc.
DEKALB Genetics Corporation|DeKalb Genetics Corporation
Delorean Motor Company|DeLorean motor company
De Lorme|DeLorme
DeMarini|Demarini
Market Basket|DeMoulas' Market Basket
DeNA|DeNA Co., Ltd.
DePatie-Freleng Enterprises, Inc.|Mirish-DePatie-Freleng
DeRoyal Industries|DeRoyal
DeSoto|DeSoto Division
DeVry|DeVry Education Group Inc.
Dewalt|De Walt
DeWind|Dewind
DeWitt Stern Group|DeWitt Stern Group, Inc.
De Agostini|Editions Atlas
De Arbeiderspers|Arbeiderspers
DeBeers|Debeers
De Bijenkorf|Bijenkorf
De Blacam & Meagher|de Blacam & Meagher
De Dion & Bouton|Clement-DeDion
Grisogono|De Grisogono
De Havilland Aircraft|De Havilland Aircraft Company Limited
Hawker De Havilland|Hawker de Havilland
de Havilland Marine|Boeing Aerostructures Australia
de Havilland Propellers|De Havilland Propellers
Brouwerij de koningshoeven|La Trappe Dubbel
De La Rue|Thomas de la Rue & Co.
De Laurentiis Entertainment Group|DeLaurentiis Entertainment Group
DePinna|De Pinna
De Tomaso Automobili SpA|De Tomaso
Greenhall Whitley|Greenall's
The Purple Ninja|Dead Gentlemen Productions
Faith and a .45|Deadline Games
Deal$|Deals Nothing Over A Dollar
Dean and DeLuca|Dean and Deluca
Meadow Gold|Oak Farms Dairy
Dean Guitars|Dean Guitar
Dean Markley USA|Dean Markley Strings
Dean Morgan Academy|Dean Morgan
Dean Witter Reynolds|Dean Witter Discover
Debenhams plc|Debenhams PLC
Roches Stores|Roches stores
Slimblack|Fonderie Deberny et Peignot
Debiopharm Group|Debiopharm
Decathlon|Geonaute
Decibel Research Inc.|deciBel Research, Inc
Decipher, Inc|Decipher Inc
Decision Support Panel|Decision Support Panel AB
Deck13|Deck 13
Simple Shoes|Teva
DecoPac, Inc.|Decopac
Decon|Decon Media, Inc.
Decor Cabinets Ltd|Decor Cabinets
Deep-secure|Deep-Secure
DeepRootLinux|DeepRoot Linux
Tandoor Chef|Deep Foods, Inc.
Deep river water park|Deep River Water Park
Deep Sea Supply Plc|Deep Sea Supply
ScienceResearch.com|Deep Web Technologies, Inc.
Deepcool|Deep Cool
Deep link.me|Deeplink
DRB-HICOM Defence Technologies|DefTech
Defence Intelligence|Defintel
Defence Material Organisation|Defence Acquisition Organisation
HM 14|D.I.O.
Defense Land Systems India|Defense Land Systems
Defense Systems|JSC Defense Systems
Banque Defoe|Banque defoe
Defoe Shipbuilding|Defoe Shipbuilding Co.
Crushable|Clevver news
Degtyaryov plant|Degtyarev plant
Frank B. Dehn & Co|Dehns
Heinrich Deichmann-Schuhe|Heinrich Deichmann-Schuhe GmbH
Deimos Imaging|Deimos Imaging S.L.U.
Dejobaan Games|Dejobaan Games, LLC
DekaBank|DekaBank Deutsche Girozentrale
Dekra SE|DEKRA
Delaware Federal Credit Union|Del-One
Del Monte Corporation|Del monte corporation
Del Monte Kenya Limited|Del Monte Kenya
Del Ray Books|Del Rey Books
DelTaco|Del Taco Holdings, Inc.
Delaware North|Daytona Beach Kennel Club
Delaware River Iron Shipbuilding and Engine Works|ABCD ships
PowerSHAPE|Delcam
Fast Food and Fuel|Delek Drilling
Delhaize Group|Delvita
DCM ltd|Delhi Cloth Mills
Syed Nozrul|Delhi Music Academy
DELiA*s|Alloy Apparel & Accessories
Delicious Monster|Delicious monster
Delivery Hero|Delivery Hero Australia
Dell'Orto|Dellorto
Dell.ca|Dell.fr
AppAssure Software|Dell AppAssure
Compellent Technologies, Inc.|Compellent Technologies
Dell KACE|KACE Networks
Dell SecureWorks Inc.|Secureworks
Dell Software, Inc.|Dell Software
Dell Wyse|Wyse
Deloittes|Deloitte, Haskins and Sells
Delphi inc.|Delphi Automotive Plc
Delphi Funds|Delphi Fondene
Delphi Glass|Delphi Glass Corporation
Delphine Software International|Delphine Software
Carolian Systems International|Delrina
DeltaHawk|DeltaHawk Engines, Inc.
DeltaRail Group|DeltaRail Group Ltd
Delta & Pine Land Company of Mississippi|Delta and Pine Land
Delta Cafes|Delta Q
Delta Galil Industries|Delta-Galil Industries Ltd.
Delta Lloyd Groep|Delta Lloyd Group
Delta tools|Delta Machinery
Delta Mini Cruiser|Delta Motors Corporation
Delta Scientific|Delta Scientific Corporation
Delta Tao|Delta Tao Software
Deltacom, Inc.|Deltacom
Deltathree, Inc.|Deltathree
Deltic Group|Liquid nightclub
Deluxe Corporation|Deluxe Corp.
Deluxe Distributions|Deluxe Distribution
DeLuxe Laboratories|Deluxe Entertainment Services Group Inc.
Consolidated Macaroni Machine Corporation|DeFrancisci Machine Corporation
Demag Cranes|Demag
Demand Studios|Demand Media
Demandware|Demandware, Inc.
Cafe Demel|Demel's
Demirbank TAS|Demirbank
Democrasoft Holdings, Inc.|Collaborize Classroom
DNC Services Corporation|Connie Thurman
Demon Internet Ltd|Demon Internet
Demonware, Inc.|DemonWare
DenTek|Dentech oral care
Den norske Bank|Den norske bank
DnC|Den norske Creditbank
Denali Federal Credit Union|Denali Alaskan Federal Credit Union
Denbury Resources Inc.|Denbury Resources Inc
Denby Pottery Company Ltd|Denby Pottery
Dencios|Dencio's
Dendreon|DNDN
Denel|Denel SOC Ltd
Denel Dynamics|Denel Aerospace Systems
Denholm's|Denholm & McKay Company
DenizBank|Denizbank
Denki Blocks!|Denki Blocks
Dennaton Games|Dennis Wedin
Denning & Fourcade, Inc.|Robert Denning & Vincent Fourcade, Inc.
Dennis Company|Dennis Company.
PokerPlayer magazine|Dennis Publishing
Dennis Specialist Vehicles Limited|Dennis Specialist Vehicles
Denny's|Nanerpus
Denodo Technologies|Denodo Technologies, Inc.
Denofa|De Nordiske Fabrikker
Denon DJ|Kabushiki Kaisha Denon
Nippondenso|Denso
Dentsply International Inc|Dentsply International
Dentsu digital holdings|Dentsu Inc.
Aegis Group plc|Aegis Group
Dentsu Isobar|Dentsu Isobar Inc.
Denver Public Schools|West Denver Prep, Highland Campus
Denway Motors|Denway
DENZA EV|Denza
DEODEO Corporation|DEODEO
Depfa|DePfa
The Depositary Trust|The Depositary Trust Corporation
Groupe Derichebourg|Derichebourg
Derry and Toms|Derry & Toms
Derways|Derways Automobile Company
Derwent Pencils|Derwent Cumberland Pencil Company
London Merchant Securities|Derwent London
Derwick Associates|Derwick Associates de Venezuela
Descon|Descon Engineering
The Deseret News Company|Deseret News Publishing Company
Deseret Telegraph Company|Deseret Telegraph Line
DesignCrowd|Designcrowd
Design hotels|Design Hotels AG
WebEQ|Design Science, Inc.
DAAM|Design and Arts Arcadia of Myungseung
Design of systems on silicon|Design of Systems on Silicon
DesignworksUSA|Designworks
Desilu Productions|Lucille Ball Productions
Groupe Desjardins|Caisses Desjardins
DeskSite|QDOS, Inc.
Dragon Stout|Desnoes and Geddes
Desoutter Aircraft Company|Desoutter
Despair.com|Demotivators
Distilerias Serralles|Destilerias Serralles
Destination Gotland|Destination Gotland AB
Motherhood Maternity|Destination Maternity Corp
Casual Male|Casual Male XL
Bold Games|Destineer
GlobalDestinyCable|Destiny Cable
Aker Exploration|Aker Exploration ASA
Det Stavangerske Dampskibsselskap|Stavangerske Dampskibsselskap
Detica Group|Detica DFI
Detonics Service Master|Detonics MTX-H
Detour Lake|Detour Gold
The Detroit Automobile Company|Detroit Automobile Company
The Detroit Diesel Corporation|Detroit diesel
Anderson Electric Car Company|Detroit Electric SP.01
Detroit Newspapers|Detroit Newspaper Association
Deuces Cracked|Deuces cracked
Deutsch|Deutsch Group
Linda Sawyer|Val DiFebo
DB Stadtverkehr|Deutsche Bahn AG
Deutsche Bank|Deutsche Asset Management
Deutsche Bank S.p.A.|Deutsche Bank
Deutsche Bourse|Deutsche Boerse Group
Deutsche EuroShop|Euroshop
DFS Deutsche Flugsicherung GmbH|Deutsche Flugsicherung
DPWN|Deutsche Post World Net
Deutsche Presseagentur|Deutsche Presse
Deutsche Schiff- und Maschinenbau|Deutschen Schiff-und Maschinenbau AG
Deutsche Telekom|German Telekom
DVAG|Deutsche Vermogensberatung
Deutsche Waffen- und Munitionsfabriken Aktien-Gesellschaft|Deutsche Waffen- und Munitionsfabriken
Deutsche Werke Kiel|Deutsche Werke AG
Deutscher Fachverlag GmbH|Deutscher Fachverlag
Deutz Gasmotoren Fabrik|Kl humb deutz
DevExpress|Developer Express Inc
Developing Minds Software|DDtrac
DBJ|Japan Development Bank
Development bank of southern africa|Development Bank of South Africa
DBP|Development Bank of the Philippines
Development Fund of the Swedish Construction Industry|Svenska Byggbranchens Utvecklingsfond
Devicescape Software|Devicescape
GHI Media, LLC|Devolver Digital
Devon Energy Corp.|Devon Energy
Devon Motorworks|Devon Motor Works
Devro plc|Devro PLC
US West Dex|Dex Media, Inc.
Dexia Group|Dexia Bank Belgie NV
Dexter russell|Dexter-Russell
Dexus Property Group|DEXUS Property Group
Addis & Dey's|The Addis Company
Dhaka Bank Limited|Dhaka Bank
Dhaka Power Distribution Company|Dhaka Power Distribution Company Limited
Port of Dhamara|Dhamra Port
Dhanlaxmi Bank|Dhanalakshmi Bank
Dharma Productions Pvt. Ltd.|Badtameez Dil
GE Healthcare|Dharmacon
Dhiraagu|Dhivehinet
DiBella's|Dibella's Old Fashioned Submarine
DiMarzio|DiMarzio Inc.
Di Bonaventura Productions|Di Bonaventura Pictures
Diasorin|DiaSorin
Diabetes UK|British Diabetic Association
Diabetology, LTD|Diabetology, Ltd
Diadora maximus|Diadora
Diageo plc|Diageo North America
Diagnostic Health Corp|Diagnostic Health Corporation
Diagnosticos da America SA|Dasa S.A.
Diagonal View|Diagonal view
Dial-A-Phone|DialaPhone
DialAmerica Marketing, Inc|Dial America
Pure & Natural|The Dial Corporation
Dialog Axiata|Dialog Axiata PLC
Dialog CDMA|Suntel
DialogTV|Dialog Television  Ltd
Dialogic Corporation|Dialogic Inc.
Mitsubishi Motor Manufacturing of America|MMMA
Diamond Aircraft Industries|Diamond Air
Diamond Castle Partners|Diamond Castle Holdings
Diamond City Shopping Centers|Diamond City
Diamond Comic Distributors Inc.|Diamond Comics Distributors
Diamond Energy|Diamond Energy Services
Emerald of California|Emerald Nuts
Diamond Knot Brewing Company|Diamond Knot Craft Brewing
Diamond Consulting|Diamond Management & Technology Partners
Diamond viper|Diamond stealth
Diamond Offshore Drilling|Diamond Offshore
Diamond Resorts|Diamond Resorts International, Inc.
Diamond Schmitt Architects|Diamond and schmitt architects
Diamond Shamrock Corp.|Diamond-Shamrock
Diamond State Telephone|Verizon Delaware
Diantong Studio|Diantong
Diapers.com|Quidsi
Diar|Diar Motors
Dicks Drive-In|Dick's Drive-In
Dick's Sporting Goods, Inc.|Dickssportinggoods
Dick Clark Productions|Dick clark productions
Dick Smith Holdings Limited|Dicksmith Electronics
Dickies|Williamson-Dickie Manufacturing Company
Dickson Concepts|Dickson Concepts  Ltd.
Dicle News Agency|DIHA
Dekeshi|Dicos
Didi Kuaidi|Didi Chuxing
Diebold Incorporated|Diebold Safe & Lock Co.
Coffee People|Diedrich Coffee
Dieffenbacher|Dieffenbacher GmbH & Co. KG
